id,projectId,sampleType,title,url,description,orderIndex,makeScreenshot,screenshotPath,screenshotAlt,createdAt,updatedAt
3305f810-c5a4-483c-b7b7-3c1881813556,ab62ae84-37ef-4d94-9ed6-58403d0da6ca,pdf,Hoofd- en nevenfuncties college B&W 2026 (PDF),https://cuatro.sim-cdn.nl/bunschoten/uploads/hoofd-_en_nevenfuncties_college_bw_2026.pdf?cb=cXmOxRCY,,19,false,,,,
26e8fa56-9bb7-4d37-9104-9b4cca88aec3,9b59a171-e91e-48ed-86da-5946a1df3760,structured,Beleid en regelgeving,https://www.valkenswaard.nl/beleid-en-regelgeving,,,false,,,,
2715931c-fc94-4418-86c1-ef8b59b51337,21a690ed-3af7-426d-ae0d-8b5c6218c565,structured,BeverBeach is terug in augustus | Gemeente Beverwijk,https://www.beverwijk.nl/beverbeach-is-terug-in-augustus,,2,false,,,,
9c8397f5-fbac-48aa-9e75-7503cb89739c,9b59a171-e91e-48ed-86da-5946a1df3760,structured,Uittreksels en verklaringen,https://www.valkenswaard.nl/uittreksels-en-verklaringen,,,false,,,,
16d87e14-fbc1-4128-93a3-094c2ebc8305,4d230920-ea82-4261-bcc0-cb858d8562bc,structured,Paspoort tot 18 jaar,https://www.valkenswaard.nl/paspoort-tot-18-jaar,,3,false,,,,
cf7c7c53-5136-466e-9f50-4be616bafc3c,21a690ed-3af7-426d-ae0d-8b5c6218c565,structured,Inburgeren | Gemeente Beverwijk,https://www.beverwijk.nl/inburgeren,,19,false,,,,
6f05da72-3ad5-4c6f-9326-deb8dea22cc0,4d230920-ea82-4261-bcc0-cb858d8562bc,structured,Nieuwsberichten,https://www.valkenswaard.nl/nieuwsberichten,,13,false,,,,
0b6a1053-1586-4120-a101-cdd86784efbc,4d230920-ea82-4261-bcc0-cb858d8562bc,pdf,Toestemmingsformulier reisdocument minderjarige (PDF),https://cuatro.sim-cdn.nl/valkenswaard/uploads/toestemmingsformulier%20reisdocument%20minderjarige.pdf?cb=DAw146Bh,,25,false,,,,
9b509e7a-6b5e-4628-adce-c77b8b38a297,9b59a171-e91e-48ed-86da-5946a1df3760,structured,Persoonsgegevens,https://www.valkenswaard.nl/persoonsgegevens,,,false,,,,
36d61b35-cabe-4c94-9ab2-ce4b1235ec81,9b59a171-e91e-48ed-86da-5946a1df3760,structured,Melding woon- en leefomgeving,https://www.valkenswaard.nl/melding-woon-en-leefomgeving,,,false,,,,
938f3072-d918-4424-9e3e-122fed31e883,9b59a171-e91e-48ed-86da-5946a1df3760,structured,"Bezwaar, klacht en zienswijze",https://www.valkenswaard.nl/bezwaar-klacht-en-zienswijze,,,false,,,,
c1fde2b5-265b-4546-97a1-a598b5af4f41,9b59a171-e91e-48ed-86da-5946a1df3760,structured,Onderscheidingen en penningen,https://www.valkenswaard.nl/onderscheidingen-en-penningen,,,false,,,,
